Title,Types,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url,Per-Sqft
Harga below market value double storey taman desa melati nilai,Houses,415000,4,3,1788,Nilai,"Today, 13:10",https://www.mudah.my/Harga+below+market+value+double+storey+taman+desa+melati+nilai-77464818.htm,232.10290827740494
"Semi-D Taman Sentosa Indah, Paroi, Ampangan",Houses,460000,4,2,3907,Senawang,"Today, 13:10",https://www.mudah.my/Semi+D+Taman+Sentosa+Indah+Paroi+Ampangan-89106982.htm,117.73739442027131
"Single storey ( sangat luas ) taman angsama.s ,seremban",Houses,190000,3,1,1776,Seremban,"Today, 13:08",https://www.mudah.my/Single+storey+sangat+luas+taman+angsama+s+seremban-89107182.htm,106.98198198198199
"Double Storey Terrace House Taman Tunku Sheikh, Jalan Rasah, Sbn, N9",Houses,350000,5,3,1458,Seremban,"Today, 13:05",https://www.mudah.my/Double+Storey+Terrace+House+Taman+Tunku+Sheikh+Jalan+Rasah+Sbn+N9-88941838.htm,240.05486968449932
"Double Storey Terrace House BANDAR SEREMBAN SELATAN, SEREMBAN, NS",Houses,250000,3,2,960,Seremban,"Today, 13:05",https://www.mudah.my/Double+Storey+Terrace+House+BANDAR+SEREMBAN+SELATAN+SEREMBAN+NS-88649826.htm,260.4166666666667
"Double storey BUNGALOW, Rasah Kemayan, Seremban, N9",Houses,2280000,8,8,11600,Seremban,"Today, 13:05",https://www.mudah.my/Double+storey+BUNGALOW+Rasah+Kemayan+Seremban+N9-86333737.htm,196.55172413793105
[VALUE BUY] TERES 2 TINGKAT 20x90 TAMAN IMPIAN PUTRA PORT DICKSON,Houses,270000,4,3,1800,Port Dickson,"Today, 13:05",https://www.mudah.my/+VALUE+BUY+TERES+2+TINGKAT+20x90+TAMAN+IMPIAN+PUTRA+PORT+DICKSON-89106890.htm,150.0
"Double Storey Terrace House Taman Sri Aman, Lukut, PD, N9",Houses,320000,4,3,1650,Port Dickson,"Today, 13:05",https://www.mudah.my/Double+Storey+Terrace+House+Taman+Sri+Aman+Lukut+PD+N9-89106868.htm,193.93939393939394
BANGLOW CORNER LOT 🔥🔥🔥,Houses,560000,4,2,5446,Lenggeng,"Today, 13:05",https://www.mudah.my/BANGLOW+CORNER+LOT+-89106850.htm,102.82776349614396
"2 Storey Corner D' Mayang Sari, Nilai Perdana, AEON Nilai",Houses,780000,4,4,1934,Nilai,"Today, 13:01",https://www.mudah.my/2+Storey+Corner+D+Mayang+Sari+Nilai+Perdana+AEON+Nilai-74679920.htm,403.3092037228542
"Double storey Semi D Laman Kekwa, Nilai Impian, Nilai",Houses,830000,5,4,2100,Nilai,"Today, 13:01",https://www.mudah.my/Double+storey+Semi+D+Laman+Kekwa+Nilai+Impian+Nilai-81162641.htm,395.23809523809524
"Double storey CORNER LOT Laman Delfina, Nilai Impian",Houses,829000,4,3,4050,Nilai,"Today, 13:01",https://www.mudah.my/Double+storey+CORNER+LOT+Laman+Delfina+Nilai+Impian-85135110.htm,204.69135802469137
"2 Storey Terrace DELFINA, Nilai Impian Facing Playground 24x73",Houses,580000,4,3,2485,Nilai,"Today, 12:55",https://www.mudah.my/2+Storey+Terrace+DELFINA+Nilai+Impian+Facing+Playground+24x73-85523744.htm,233.40040241448693
Lelong!!! Seremban Double StoreyTeres Gated Bandar Sri Sendayan Labu,Houses,390000,4,4,2363,Seremban,"Today, 12:55",https://www.mudah.my/Lelong+Seremban+Double+StoreyTeres+Gated+Bandar+Sri+Sendayan+Labu-78742296.htm,165.04443504020313
(2900sq ft) Bandar Nilai 2-Tingkat 22x75 Rumah Baru Nilai Impian Pajam,Houses,448000,4,4,2900,Nilai,"Today, 12:55",https://www.mudah.my/+2900sq+ft+Bandar+Nilai+2+Tingkat+22x75+Rumah+Baru+Nilai+Impian+Pajam-84664191.htm,154.48275862068965
[Double Storey Semi-D Concept] 30x80 Extra Land 21 feet 0%D/P Freehold,Houses,425800,4,4,3250,Seremban,"Today, 12:50",https://www.mudah.my/+Double+Storey+Semi+D+Concept+30x80+Extra+Land+21+feet+0+D+P+Freehold-88964150.htm,131.01538461538462
BUNGALOW | TANAH LUAS | 1 Storey Mahkota Hill Lenggeng Semenyih Bangi,Houses,420000,4,3,4000,Lenggeng,"Today, 12:50",https://www.mudah.my/BUNGALOW+TANAH+LUAS+1+Storey+Mahkota+Hill+Lenggeng+Semenyih+Bangi-89106565.htm,105.0
FREEHOLD | NON BUMI | 2 Storey Laman Bakawali Kota Seriemas Nilai KLIA,Houses,430000,3,2,1400,Nilai,"Today, 12:45",https://www.mudah.my/FREEHOLD+NON+BUMI+2+Storey+Laman+Bakawali+Kota+Seriemas+Nilai+KLIA-89106470.htm,307.14285714285717
RUMAH GADONG JAYA UNTUK DIJUAL 🔥🔥🔥,Houses,230000,3,2,1302,Labu,"Today, 12:44",https://www.mudah.my/RUMAH+GADONG+JAYA+UNTUK+DIJUAL+-89106712.htm,176.65130568356375
1 Storey Taman Mambau Jaya Nearby Seremban 2 [Below Market Value],Houses,200000,3,2,1600,Seremban,"Today, 12:35",https://www.mudah.my/1+Storey+Taman+Mambau+Jaya+Nearby+Seremban+2+Below+Market+Value+-89009789.htm,125.0
PALING MURAH DI KOTA SERIEMAS 🔥🔥🔥,Houses,400000,4,3,1400,Nilai,"Today, 12:30",https://www.mudah.my/PALING+MURAH+DI+KOTA+SERIEMAS+-89106447.htm,285.7142857142857
Semi D Taman Panchor Jaya,Houses,400000,4,2,2800,Senawang,"Today, 12:30",https://www.mudah.my/Semi+D+Taman+Panchor+Jaya-89106232.htm,142.85714285714286
Single storey endlot taman bandar baru senawang,Houses,480000,4,3,2320,Senawang,"Today, 12:29",https://www.mudah.my/Single+storey+endlot+taman+bandar+baru+senawang-89106442.htm,206.89655172413794
Seremban below Market Value 3 Storey Semi D,Houses,1100000,6,6,3825,Seremban,"Today, 12:29",https://www.mudah.my/Seremban+below+Market+Value+3+Storey+Semi+D-89003386.htm,287.58169934640523
"[BIG LAND SIZE] 1 Storey Bungalow, Tuanku Jaafar Golf & Country Club",Houses,420000,4,2,3400,Senawang,"Today, 12:22",https://www.mudah.my/+BIG+LAND+SIZE+1+Storey+Bungalow+Tuanku+Jaafar+Golf+Country+Club-89106358.htm,123.52941176470588
Seremban Jaya Double Storey Intermediate,Houses,349000,4,3,1540,Seremban,"Today, 12:19",https://www.mudah.my/Seremban+Jaya+Double+Storey+Intermediate-87856587.htm,226.62337662337663
For sale : double storey bungalow rasah kemayan.seremban 2 negeri sem,Houses,650000,5,4,3229,Seremban,"Today, 12:15",https://www.mudah.my/For+sale+double+storey+bungalow+rasah+kemayan+seremban+2+negeri+sem-88843728.htm,201.30071229482812
"[20 x 70 ft] Single Storey Nusari Bayu 3 , Sri Sendayan Seremban NS",Houses,260000,3,2,1400,Seremban,"Today, 12:10",https://www.mudah.my/+20+x+70+ft+Single+Storey+Nusari+Bayu+3+Sri+Sendayan+Seremban+NS-89105978.htm,185.71428571428572
[FREEHOLD NEW HOUSE] 1Storey Taman Bayu Indera Lukut Port Dickson,Houses,288000,3,2,1200,Port Dickson,"Today, 12:10",https://www.mudah.my/+FREEHOLD+NEW+HOUSE+1Storey+Taman+Bayu+Indera+Lukut+Port+Dickson-81282889.htm,240.0
[Non Bumi Lot + Nice] End Lot Taman Rasah Jaya Seremban,Houses,250000,3,2,1400,Seremban,"Today, 12:05",https://www.mudah.my/+Non+Bumi+Lot+Nice+End+Lot+Taman+Rasah+Jaya+Seremban-89053270.htm,178.57142857142858
"[Non Bumi Lot + FREEHOLD] Taman Seremban Jaya, Seremban",Houses,335000,4,3,1560,Seremban,"Today, 12:05",https://www.mudah.my/+Non+Bumi+Lot+FREEHOLD+Taman+Seremban+Jaya+Seremban-88932846.htm,214.74358974358975
"Semi-D Taman Tunku Jaafar, Senawang Seremban",Houses,390000,3,2,2809,Seremban,"Today, 12:05",https://www.mudah.my/Semi+D+Taman+Tunku+Jaafar+Senawang+Seremban-88580583.htm,138.83944464222142
[ Freehold - 20 x 70 ft] Single Storey Taman Nusari Bayu Seremban NS,Houses,260000,3,2,1400,Labu,"Today, 12:05",https://www.mudah.my/+Freehold+20+x+70+ft+Single+Storey+Taman+Nusari+Bayu+Seremban+NS-89105903.htm,185.71428571428572
Freehold [only 300k !!] best investment landed project in port dickson,Houses,300000,4,3,1800,Seremban,"Today, 12:00",https://www.mudah.my/Freehold+only+300k+best+investment+landed+project+in+port+dickson-89095363.htm,166.66666666666666
HOT UNIT DESA MAYANG SARI 🔥🔥🔥,Houses,490000,4,4,1200,Nilai,"Today, 11:55",https://www.mudah.my/HOT+UNIT+DESA+MAYANG+SARI+-88486966.htm,408.3333333333333
"Superlink Double Storey HUNDRED EAST, Bandar Enstek Nilai",Houses,690000,4,4,2080,Nilai,"Today, 11:41",https://www.mudah.my/Superlink+Double+Storey+HUNDRED+EAST+Bandar+Enstek+Nilai-89105673.htm,331.7307692307692
[ BARU + 5 BILIK + POOL ] Semi D - LAMAN ALAMANDA Kota Seriemas Nilai,Houses,1300000,5,5,6415,Nilai,"Today, 11:40",https://www.mudah.my/+BARU+5+BILIK+POOL+Semi+D+LAMAN+ALAMANDA+Kota+Seriemas+Nilai-88567349.htm,202.65003897116134
HOT ITEM single story for sale,Houses,309999,4,2,1540,Seremban,"Today, 11:40",https://www.mudah.my/HOT+ITEM+single+story+for+sale-87057955.htm,201.29805194805195
Semi d for sell,Houses,480000,4,2,4000,Seremban,"Today, 11:40",https://www.mudah.my/Semi+d+for+sell-86604428.htm,120.0
[seremban2 semi-d 55x135] bekow market (free hoc) last 2 unit!!!,Houses,428888,4,4,2678,Seremban,"Today, 11:40",https://www.mudah.my/+seremban2+semi+d+55x135+bekow+market+free+hoc+last+2+unit+-85483518.htm,160.15235250186706
Freehold Double Storey 3xxk 20x70,Houses,350000,4,3,2000,Seremban,"Today, 11:40",https://www.mudah.my/Freehold+Double+Storey+3xxk+20x70-79350180.htm,175.0
[Last 2 units] Corner 58x75 FREEHOLD 2 sty only from 420K,Houses,420888,4,4,2100,Seremban,"Today, 11:40",https://www.mudah.my/+Last+2+units+Corner+58x75+FREEHOLD+2+sty+only+from+420K-79789363.htm,200.42285714285714
[ DISCOUNT UP TO 25% ] Seremban Double Storey House near AEON NSK,Houses,368840,4,4,2500,Seremban,"Today, 11:35",https://www.mudah.my/+DISCOUNT+UP+TO+25+Seremban+Double+Storey+House+near+AEON+NSK-89029100.htm,147.536
Double story terrace house for sale,Houses,420000,5,3,1920,Seremban,"Today, 11:35",https://www.mudah.my/Double+story+terrace+house+for+sale-88036826.htm,218.75
Seremban Budget 2 Storey House nr PLUS Highway,Houses,349999,4,4,2483,Seremban,"Today, 11:35",https://www.mudah.my/Seremban+Budget+2+Storey+House+nr+PLUS+Highway-89028123.htm,140.95811518324606
"[Hot Area, SuperB Offer 25%] Bumi Lot Rumah teres 2 tingkat Seremban",Houses,368013,4,4,2356,Seremban,"Today, 11:35",https://www.mudah.my/+Hot+Area+SuperB+Offer+25+Bumi+Lot+Rumah+teres+2+tingkat+Seremban-88984410.htm,156.20246179966045
LIMITED UNIT 2 n half story terrace,Houses,726000,5,4,1801,Seremban,"Today, 11:35",https://www.mudah.my/LIMITED+UNIT+2+n+half+story+terrace-86256084.htm,403.1093836757357
(CORNER LOT) Double Storey TAMAN LAVENDER HEIGHT SENAWANG,Houses,595000,4,3,2860,Senawang,"Today, 11:25",https://www.mudah.my/+CORNER+LOT+Double+Storey+TAMAN+LAVENDER+HEIGHT+SENAWANG-87794248.htm,208.04195804195805
Double storey terrace house in Seremban/Bandar Springhill/Port Dickson,Houses,250000,3,2,1205,Seremban,"Today, 11:21",https://www.mudah.my/Double+storey+terrace+house+in+Seremban+Bandar+Springhill+Port+Dickson-89105289.htm,207.4688796680498
"Double Storey Terrace House BANDAR SEREMBAN SELATAN, SEREMBAN, NS",Houses,335000,4,3,1540,Seremban,"Today, 11:20",https://www.mudah.my/Double+Storey+Terrace+House+BANDAR+SEREMBAN+SELATAN+SEREMBAN+NS-88918979.htm,217.53246753246754
"Double storey terrace house, Garden City, Sbn 2, N9",Houses,470000,4,3,1650,Seremban,"Today, 11:20",https://www.mudah.my/Double+storey+terrace+house+Garden+City+Sbn+2+N9-86671203.htm,284.8484848484849
"Double Storey Semi-D house-Vision Homes, Seremban 2, N9",Houses,400000,4,3,1800,Seremban,"Today, 11:20",https://www.mudah.my/Double+Storey+Semi+D+house+Vision+Homes+Seremban+2+N9-86663321.htm,222.22222222222223
"Rumah murah *BERDEKATAN* Seremban, Senawang,Rasah,sendayan,enstek,klia",Houses,266400,3,2,1200,Seremban,"Today, 11:20",https://www.mudah.my/Rumah+murah+BERDEKATAN+Seremban+Senawang+Rasah+sendayan+enstek+klia-87053652.htm,222.0
Rumah Mampu Milik 22x75 Nilai Warisan # RM3000 gaji juga mampu beli,Houses,359888,5,4,2819,Nilai,"Today, 11:15",https://www.mudah.my/Rumah+Mampu+Milik+22x75+Nilai+Warisan+RM3000+gaji+juga+mampu+beli-88946952.htm,127.66512947853849
"Nilai Sri Bayu Freehold 2 storey Semi-d Design Built-up, RM2000/mth !!",Houses,399999,5,5,3258,Nilai,"Today, 11:15",https://www.mudah.my/Nilai+Sri+Bayu+Freehold+2+storey+Semi+d+Design+Built+up+RM2000+mth+-85980299.htm,122.7744014732965
"Nilai Ceria, Corner lot 26x75 Superlink, 20ft Backyard, Fully Furnish",Houses,374988,5,5,3312,Nilai,"Today, 11:15",https://www.mudah.my/Nilai+Ceria+Corner+lot+26x75+Superlink+20ft+Backyard+Fully+Furnish-85871025.htm,113.22101449275362
20x90 End Lot Double Storey Taman Tasik Jaya 2 senawang,Houses,470000,4,4,1800,Senawang,"Today, 11:10",https://www.mudah.my/20x90+End+Lot+Double+Storey+Taman+Tasik+Jaya+2+senawang-89104807.htm,261.1111111111111
CORNER | 3000SQFT | SEMI D | 2 Storey Vision Home Seremban 2,Houses,520000,4,3,3000,Seremban,"Today, 11:10",https://www.mudah.my/CORNER+3000SQFT+SEMI+D+2+Storey+Vision+Home+Seremban+2-89104781.htm,173.33333333333334
Seremban bukit kaya double storey semi D,Houses,699000,4,3,3200,Seremban,"Today, 11:10",https://www.mudah.my/Seremban+bukit+kaya+double+storey+semi+D-89104780.htm,218.4375
NICE UNIT🔥🔥Corner Lot Single Storey Bandar Enstek Nilai,Houses,420000,3,2,3103,Nilai,"Today, 11:05",https://www.mudah.my/NICE+UNIT+Corner+Lot+Single+Storey+Bandar+Enstek+Nilai-89104686.htm,135.3528843055108
[Fully Renovated] BUNGALOW PAJAM NILAI N.SEMBILAN [Banglo],Houses,980000,5,6,3200,Nilai,"Today, 11:05",https://www.mudah.my/+Fully+Renovated+BUNGALOW+PAJAM+NILAI+N+SEMBILAN+Banglo+-83439903.htm,306.25
"Single Storey Semi Detached, Green Street Homes, Seremban 2, N9",Houses,660000,4,2,3757,Seremban,"Today, 11:00",https://www.mudah.my/Single+Storey+Semi+Detached+Green+Street+Homes+Seremban+2+N9-88898841.htm,175.67207878626564
"Double Storey Terrace House End Lot, Taman Orkid, Jln By Pass, PD, N9",Houses,340000,4,3,1650,Seremban,"Today, 11:00",https://www.mudah.my/Double+Storey+Terrace+House+End+Lot+Taman+Orkid+Jln+By+Pass+PD+N9-87517285.htm,206.06060606060606
"Double Storey Terrace House, Nuri Indah, Rasah Jaya, Sbn, N9",Houses,430000,4,3,1760,Seremban,"Today, 11:00",https://www.mudah.my/Double+Storey+Terrace+House+Nuri+Indah+Rasah+Jaya+Sbn+N9-85572570.htm,244.3181818181818
[HUGE LAND] Semi D House LAMAN ALAMANDA Kota Seriemas Nilai,Houses,1150000,4,5,5000,Nilai,"Today, 11:00",https://www.mudah.my/+HUGE+LAND+Semi+D+House+LAMAN+ALAMANDA+Kota+Seriemas+Nilai-87353568.htm,230.0
"2sty Terrace House, Laman Orkid, Nilai Impian, N9",Houses,475000,4,3,1921,Nilai,"Today, 11:00",https://www.mudah.my/2sty+Terrace+House+Laman+Orkid+Nilai+Impian+N9-84054285.htm,247.26704841228528
24x80 ( Seremban 2 ) 2 Sty House Like SemiD Site ( G & G ) HOC Package,Houses,356000,5,4,2800,Seremban,"Today, 11:00",https://www.mudah.my/24x80+Seremban+2+2+Sty+House+Like+SemiD+Site+G+G+HOC+Package-88795419.htm,127.14285714285714
[Corner Besar Semi-D Concept House!!] 50x100 Extraland 48FT Freehold!!,Houses,355000,5,5,4218,Seremban,"Today, 10:55",https://www.mudah.my/+Corner+Besar+Semi+D+Concept+House+50x100+Extraland+48FT+Freehold+-86837319.htm,84.16311047889995
[Diskaun Banyak Rebate 40%!!!] Superlink 2-Sty Besar! 24x85 Freehold!,Houses,289100,5,4,3265,Seremban,"Today, 10:55",https://www.mudah.my/+Diskaun+Banyak+Rebate+40+Superlink+2+Sty+Besar+24x85+Freehold+-86842823.htm,88.54517611026034
"Nilai new launch landed house , 6 minutes from aeon Nilai",Houses,399000,4,3,1900,Nilai,"Today, 10:49",https://www.mudah.my/Nilai+new+launch+landed+house+6+minutes+from+aeon+Nilai-89104653.htm,210.0
End lot taman intan perdana port dickson for sale!,Houses,186000,3,2,1624,Port Dickson,"Today, 10:48",https://www.mudah.my/End+lot+taman+intan+perdana+port+dickson+for+sale+-89104626.htm,114.5320197044335
"Fast!! limited unit [0%dp] freehold 2 storey 24x75, pasir panjang",Houses,270888,4,4,2785,Port Dickson,"Today, 10:45",https://www.mudah.my/Fast+limited+unit+0+dp+freehold+2+storey+24x75+pasir+panjang-85381639.htm,97.26678635547576
[seremban new lauch] limited unit!! freehold 2 storey 24x75 call now,Houses,358888,4,4,2879,Seremban,"Today, 10:45",https://www.mudah.my/+seremban+new+lauch+limited+unit+freehold+2+storey+24x75+call+now-85058350.htm,124.6571726293852
Rumah setingkat taman jasmin indah senawang seremban negeri sembilan,Houses,270000,3,2,1300,Senawang,"Today, 10:45",https://www.mudah.my/Rumah+setingkat+taman+jasmin+indah+senawang+seremban+negeri+sembilan-89000445.htm,207.69230769230768
"[BOOKING FLEXIBLE] Semi-D Taman Sentosa Indah, Paroi Ampangan",Houses,460000,4,2,3907,Seremban,"Today, 10:40",https://www.mudah.my/+BOOKING+FLEXIBLE+Semi+D+Taman+Sentosa+Indah+Paroi+Ampangan-88872488.htm,117.73739442027131
"Double storey CORNER LOT, Balista, Bandar Sri Sendayan, Seremban, N9",Houses,950000,4,4,3961,Seremban,"Today, 10:40",https://www.mudah.my/Double+storey+CORNER+LOT+Balista+Bandar+Sri+Sendayan+Seremban+N9-87773164.htm,239.83842464024235
"BRAND NEW Double storey bungalow house at Rasah Kemayan, Seremban, N9",Houses,880000,5,5,5380,Seremban,"Today, 10:40",https://www.mudah.my/BRAND+NEW+Double+storey+bungalow+house+at+Rasah+Kemayan+Seremban+N9-87773037.htm,163.56877323420073
"Single storey Terrace house, Nusari Bayu 1, Bandar Sri Sendayan, N9",Houses,285000,3,2,1400,Seremban,"Today, 10:40",https://www.mudah.my/Single+storey+Terrace+house+Nusari+Bayu+1+Bandar+Sri+Sendayan+N9-86605674.htm,203.57142857142858
[1624 sqft End Lot] Rumah Setingkat Taman Intan Perdana Port Dickson,Houses,190000,3,2,1624,Linggi,"Today, 10:30",https://www.mudah.my/+1624+sqft+End+Lot+Rumah+Setingkat+Taman+Intan+Perdana+Port+Dickson-89104231.htm,116.99507389162562
Taman seremban jaya facing open,Houses,320000,4,3,1440,Senawang,"Today, 10:30",https://www.mudah.my/Taman+seremban+jaya+facing+open-88263604.htm,222.22222222222223
"SEMI D FREEHOLD, Taman Marikh , Batu Kikir",Houses,395000,4,2,1426,Batu Kikir,"Today, 10:25",https://www.mudah.my/SEMI+D+FREEHOLD+Taman+Marikh+Batu+Kikir-89104145.htm,276.9985974754558
Depan Surau > Renovated Semi-D Taman Panchor Jaya,Houses,400000,4,2,2800,Senawang,"Today, 10:25",https://www.mudah.my/Depan+Surau+Renovated+Semi+D+Taman+Panchor+Jaya-89103852.htm,142.85714285714286
"Corner Double Storey Semi-D house-Vision Homes, Seremban 2, N9",Houses,580000,4,3,2594,Seremban,"Today, 10:25",https://www.mudah.my/Corner+Double+Storey+Semi+D+house+Vision+Homes+Seremban+2+N9-88906338.htm,223.5929067077872
"Double storey house taman medang, mantin",Houses,340000,4,3,1700,Mantin,"Today, 10:25",https://www.mudah.my/Double+storey+house+taman+medang+mantin-87880620.htm,200.0
"Double Storey Terrace House at Bandar Springhill, Port Dickson, N9",Houses,285000,4,3,1400,Port Dickson,"Today, 10:25",https://www.mudah.my/Double+Storey+Terrace+House+at+Bandar+Springhill+Port+Dickson+N9-88898806.htm,203.57142857142858
[Depan Surau] Semi-D Renovated Taman Panchor Jaya,Houses,400000,4,2,2800,Senawang,"Today, 10:25",https://www.mudah.my/+Depan+Surau+Semi+D+Renovated+Taman+Panchor+Jaya-89103907.htm,142.85714285714286
"2 1/2 STOREY BUNGALOW Taman Bukit Saujana (Tmn TKK) Port Dickson, NS",Houses,1300000,7,4,9327,Port Dickson,"Today, 10:25",https://www.mudah.my/2+1+2+STOREY+BUNGALOW+Taman+Bukit+Saujana+Tmn+TKK+Port+Dickson+NS-88065159.htm,139.38029377077302
"Seremban 2 tingkat Freehold, 10min to AEON!! Price Negotiable!! Fast!!",Houses,359888,5,4,2784,Seremban,"Today, 10:20",https://www.mudah.my/Seremban+2+tingkat+Freehold+10min+to+AEON+Price+Negotiable+Fast+-88946203.htm,129.27011494252875
"1 Storey CORNER LOT Taman Nusari Aman 1, Bandar Sri Sendayan",Houses,420000,3,2,3164,Seremban,"Today, 10:20",https://www.mudah.my/1+Storey+CORNER+LOT+Taman+Nusari+Aman+1+Bandar+Sri+Sendayan-88818645.htm,132.7433628318584
