Title,Price,Bedrooms,Bathrooms,Areas,Location,Release Date,Url,Per-Sqft
Apartment putra damai presint 11,1000,3,2,700,Putrajaya,"Yesterday, 07:48",https://www.mudah.my/Apartment+putra+damai+presint+11-88665443.htm,1.4285714285714286
"Saujana Aster Condominium, Presint 11, Putrajaya",1200,3,2,875,Putrajaya,"Feb 11, 21:42",https://www.mudah.my/Saujana+Aster+Condominium+Presint+11+Putrajaya-88217222.htm,1.3714285714285714
[FULLY FURNISHED] Condominium Unit Dwiputra Residences Presint 15,2200,3,3,1200,Putrajaya,"Feb 11, 21:30",https://www.mudah.my/+FULLY+FURNISHED+Condominium+Unit+Dwiputra+Residences+Presint+15-86024097.htm,1.8333333333333333
Rumah Sewa 1500sqft 4 Bilik Apartment Pudina Presint 17 Putrajaya,1500,4,2,1500,Putrajaya,"Feb 11, 20:51",https://www.mudah.my/Rumah+Sewa+1500sqft+4+Bilik+Apartment+Pudina+Presint+17+Putrajaya-88646557.htm,1.0
Apartment Larai Precint 6 Putrajaya Partial Furnished,1200,3,2,1200,Putrajaya,"Feb 11, 20:50",https://www.mudah.my/Apartment+Larai+Precint+6+Putrajaya+Partial+Furnished-88662307.htm,1.0
Apartment tingkat bawah berhampiran putrajaya,770,2,2,740,Putrajaya,"Feb 11, 20:32",https://www.mudah.my/Apartment+tingkat+bawah+berhampiran+putrajaya-88662077.htm,1.0405405405405406
LEVEL 1 Saujana Aster Condo Presint 11 PUTRAJAYA,1200,3,2,875,Putrajaya,"Feb 11, 16:27",https://www.mudah.my/LEVEL+1+Saujana+Aster+Condo+Presint+11+PUTRAJAYA-88658966.htm,1.3714285714285714
Cheapest Seruling Apartment untuk Disewa Tingkat bawah,1100,3,2,1200,Putrajaya,"Feb 11, 14:45",https://www.mudah.my/Cheapest+Seruling+Apartment+untuk+Disewa+Tingkat+bawah-88622279.htm,0.9166666666666666
Cheapest Rumah untuk Disewa Prima Presint 11,1100,3,2,1200,Putrajaya,"Feb 11, 13:50",https://www.mudah.my/Cheapest+Rumah+untuk+Disewa+Prima+Presint+11-88629564.htm,0.9166666666666666
"[Dekat Sekolah, Pejabat] Apartment PPAM Pudina Presint 17 Putrajaya",1200,3,2,1200,Putrajaya,"Feb 11, 12:45",https://www.mudah.my/+Dekat+Sekolah+Pejabat+Apartment+PPAM+Pudina+Presint+17+Putrajaya-88655369.htm,1.0
"[Dekat Sekolah, Surau] Apartment PRIMA Presint 11 Putrajaya",1300,3,2,1000,Putrajaya,"Feb 11, 12:42",https://www.mudah.my/+Dekat+Sekolah+Surau+Apartment+PRIMA+Presint+11+Putrajaya-88655505.htm,1.3
PARTLY FURNISHED NEARBY SCHOOL Apartment Prima Presint 11 Putrajaya,1499,3,2,1000,Putrajaya,"Feb 11, 12:10",https://www.mudah.my/PARTLY+FURNISHED+NEARBY+SCHOOL+Apartment+Prima+Presint+11+Putrajaya-88583504.htm,1.499
"Conezion Putrajaya, IOI Resort City, Fully Furnished",1900,3,2,994,Putrajaya,"Feb 11, 10:20",https://www.mudah.my/Conezion+Putrajaya+IOI+Resort+City+Fully+Furnished-88401706.htm,1.9114688128772637
"[Cheapest, Near Ammenities] Tamara Residence, Presint 8, Putrajaya",1700,3,2,1205,Putrajaya,"Feb 11, 06:25",https://www.mudah.my/+Cheapest+Near+Ammenities+Tamara+Residence+Presint+8+Putrajaya-88650249.htm,1.4107883817427387
"[Dekat Dengan Kemudahan] Apartment Prima, Presint 11, Putrajaya",1300,3,2,1000,Putrajaya,"Feb 11, 06:23",https://www.mudah.my/+Dekat+Dengan+Kemudahan+Apartment+Prima+Presint+11+Putrajaya-88650254.htm,1.3
Fully Furnished Tamara Condominium Ayer 8 Putrajaya,2000,3,2,1205,Putrajaya,"Feb 11, 00:18",https://www.mudah.my/Fully+Furnished+Tamara+Condominium+Ayer+8+Putrajaya-85255941.htm,1.6597510373443984
Fully Furnished Service Residence Conezion Residence Putrajaya,1800,3,2,994,Putrajaya,"Feb 10, 23:50",https://www.mudah.my/Fully+Furnished+Service+Residence+Conezion+Residence+Putrajaya-88514045.htm,1.8108651911468814
"[VIEW TIPTOP, FULLY FURNISHED, 2 CARPARK] Tamara Residence Presint 8",2500,3,2,1205,Putrajaya,"Feb 10, 23:40",https://www.mudah.my/+VIEW+TIPTOP+FULLY+FURNISHED+2+CARPARK+Tamara+Residence+Presint+8-87754868.htm,2.074688796680498
"[2 carpark, low density condo, jalan kaki ke i8] Tamara Residence P8",1900,3,2,1205,Putrajaya,"Feb 10, 23:15",https://www.mudah.my/+2+carpark+low+density+condo+jalan+kaki+ke+i8+Tamara+Residence+P8-88302361.htm,1.5767634854771784
Pangsapuri presint 11 untuk disewa,1200,3,2,900,Putrajaya,"Feb 10, 19:26",https://www.mudah.my/Pangsapuri+presint+11+untuk+disewa-88645797.htm,1.3333333333333333
[ 2-4 Pax| WIFI| Carpark| Fully Furnished] Apartment,1250,1,1,650,Putrajaya,"Feb 10, 18:30",https://www.mudah.my/+2+4+Pax+WIFI+Carpark+Fully+Furnished+Apartment-87996122.htm,1.9230769230769231
Tamara Condo Presint 8 Putrajaya FOR RENT,1700,3,2,1205,Putrajaya,"Feb 10, 17:27",https://www.mudah.my/Tamara+Condo+Presint+8+Putrajaya+FOR+RENT-88644141.htm,1.4107883817427387
Apartmen Selasih di Presint 17 Putrajaya,1000,3,2,1000,Putrajaya,"Feb 10, 17:26",https://www.mudah.my/Apartmen+Selasih+di+Presint+17+Putrajaya-88644125.htm,1.0
"RENT TO OWN! Basic to Partial Unit Connezion, Putrajaya",1200,2,2,1000,Putrajaya,"Feb 10, 16:42",https://www.mudah.my/RENT+TO+OWN+Basic+to+Partial+Unit+Connezion+Putrajaya-88643354.htm,1.2
Rumah Baru Apartment Seruling Sewa Putrajaya,1200,3,2,1200,Putrajaya,"Feb 10, 16:00",https://www.mudah.my/Rumah+Baru+Apartment+Seruling+Sewa+Putrajaya-88572027.htm,1.0
Apartment Pudina Cantik Untuk Disewa Di Putrajaya,1350,3,2,1000,Putrajaya,"Feb 10, 13:48",https://www.mudah.my/Apartment+Pudina+Cantik+Untuk+Disewa+Di+Putrajaya-88640024.htm,1.35
Apartmen Pudina P17 untuk disewa,1300,3,2,1200,Putrajaya,"Feb 10, 12:42",https://www.mudah.my/Apartmen+Pudina+P17+untuk+disewa-88638801.htm,1.0833333333333333
"View Tasik | For Rent | PPAM Saderi Presint 16, Putrajaya (Dekat Alama",1400,3,2,1200,Putrajaya,"Feb 10, 12:40",https://www.mudah.my/View+Tasik+For+Rent+PPAM+Saderi+Presint+16+Putrajaya+Dekat+Alama-88468152.htm,1.1666666666666667
Apartment untuk disewa* Apartment Pudina Precint 17 Putrajaya,1200,3,2,1200,Putrajaya,"Feb 10, 11:30",https://www.mudah.my/Apartment+untuk+disewa+Apartment+Pudina+Precint+17+Putrajaya-88636964.htm,1.0
Fully Furnished Service Residence at Conezion Residence for Rent,1800,3,9,994,Putrajaya,"Feb 10, 11:15",https://www.mudah.my/Fully+Furnished+Service+Residence+at+Conezion+Residence+for+Rent-88525120.htm,1.8108651911468814
[Fully Furnished ] Dwiputra Residence Presint 15 Putrajaya,1800,3,2,950,Putrajaya,"Feb 10, 10:10",https://www.mudah.my/+Fully+Furnished+Dwiputra+Residence+Presint+15+Putrajaya-87283067.htm,1.894736842105263
[ Near Amenities ] Tamara Condominium Presint 8 Putrajaya For Rent,1700,3,2,1205,Putrajaya,"Feb 10, 09:50",https://www.mudah.my/+Near+Amenities+Tamara+Condominium+Presint+8+Putrajaya+For+Rent-87084369.htm,1.4107883817427387
"[NICE UNIT&LOCATION] Apt Perumahan Prima Presint 11, Putrajaya",1300,3,2,1200,Putrajaya,"Feb 10, 09:25",https://www.mudah.my/+NICE+UNIT+LOCATION+Apt+Perumahan+Prima+Presint+11+Putrajaya-88634882.htm,1.0833333333333333
Flat hijau putra harmoni presint 9 putrajaya,1200,3,2,700,Putrajaya,"Feb 10, 09:03",https://www.mudah.my/Flat+hijau+putra+harmoni+presint+9+putrajaya-88634809.htm,1.7142857142857142
Heart of putrajaya tamara residence ayer8 presint 8,1700,3,2,1208,Putrajaya,"Feb 10, 08:24",https://www.mudah.my/Heart+of+putrajaya+tamara+residence+ayer8+presint+8-88634220.htm,1.4072847682119205
[PARTIALLY FURNISHED APARTMENT] Apartment Selasih Presint 17 Putrajaya,1200,3,2,1043,Putrajaya,"Feb 10, 01:22",https://www.mudah.my/+PARTIALLY+FURNISHED+APARTMENT+Apartment+Selasih+Presint+17+Putrajaya-88632598.htm,1.1505273250239694
Cyberjaya - Cyberia Smarthome,1500,3,2,1065,Putrajaya,"Feb 9, 22:46",https://www.mudah.my/Cyberjaya+Cyberia+Smarthome-87363727.htm,1.408450704225352
"UNTUK DISEWA Apartment PPAM Pudina Presint 17 , Putrajaya",1200,3,2,1200,Putrajaya,"Feb 9, 20:40",https://www.mudah.my/UNTUK+DISEWA+Apartment+PPAM+Pudina+Presint+17+Putrajaya-88544083.htm,1.0
FACING LAKE Tamara Residence Presint 8 Putrajaya,1800,3,2,1205,Putrajaya,"Feb 9, 20:25",https://www.mudah.my/FACING+LAKE+Tamara+Residence+Presint+8+Putrajaya-88544075.htm,1.4937759336099585
"FOR RENT Dwiputra Residence Condominium, Presint 15, Putrajaya",2300,3,2,1200,Putrajaya,"Feb 9, 20:25",https://www.mudah.my/FOR+RENT+Dwiputra+Residence+Condominium+Presint+15+Putrajaya-88544061.htm,1.9166666666666667
UNTUK DISEWA Apartment Prima Presint 11 Putrajaya,1300,3,2,1000,Putrajaya,"Feb 9, 20:25",https://www.mudah.my/UNTUK+DISEWA+Apartment+Prima+Presint+11+Putrajaya-88544076.htm,1.3
"[Fully Furnished] Sawtelle Suites Cyber Heights Villa, Cyberjaya",320000,2,2,900,Putrajaya,"Feb 9, 16:50",https://www.mudah.my/+Fully+Furnished+Sawtelle+Suites+Cyber+Heights+Villa+Cyberjaya-88625673.htm,355.55555555555554
(CORNER BIG RENO) Taman Topaz Apartment TABLE TOP 20 Mins To Putrajaya,750,3,2,1055,Putrajaya,"Feb 9, 16:20",https://www.mudah.my/+CORNER+BIG+RENO+Taman+Topaz+Apartment+TABLE+TOP+20+Mins+To+Putrajaya-87970966.htm,0.7109004739336493
FULL FURNISHED Tamara Residence Presint 8 Putrajaya GROUND FLOOR PARK,1900,3,2,1205,Putrajaya,"Feb 9, 14:40",https://www.mudah.my/FULL+FURNISHED+Tamara+Residence+Presint+8+Putrajaya+GROUND+FLOOR+PARK-88391907.htm,1.5767634854771784
Presint 8 Putrajaya | Tamara Residence Condominium LEVEL 4,1700,3,2,1205,Putrajaya,"Feb 9, 14:20",https://www.mudah.my/Presint+8+Putrajaya+Tamara+Residence+Condominium+LEVEL+4-88152406.htm,1.4107883817427387
Cheapest Apartment Selasih untuk disewa Putrajaya,1100,3,2,1200,Putrajaya,"Feb 9, 13:25",https://www.mudah.my/Cheapest+Apartment+Selasih+untuk+disewa+Putrajaya-88568066.htm,0.9166666666666666
"Pangsapuri Harmoni, Flat Hijau, Presint 9, Putrajaya Hospital Sekolah",1200,3,2,700,Putrajaya,"Feb 9, 12:01",https://www.mudah.my/Pangsapuri+Harmoni+Flat+Hijau+Presint+9+Putrajaya+Hospital+Sekolah-88620067.htm,1.7142857142857142
"Best Rent F/Furnish Mutiara Ville Studio, Eclipse, Cyberjaya",1000,1,1,560,Putrajaya,"Feb 9, 11:45",https://www.mudah.my/Best+Rent+F+Furnish+Mutiara+Ville+Studio+Eclipse+Cyberjaya-88619737.htm,1.7857142857142858
"Sewa Rumah Milik Sendiri, SKIM SEWA BELI, Putrajaya,",1200,2,2,780,Putrajaya,"Feb 9, 11:27",https://www.mudah.my/Sewa+Rumah+Milik+Sendiri+SKIM+SEWA+BELI+Putrajaya+-88619124.htm,1.5384615384615385
"Best Rent P/Furnished Mutiara Ville, Eclipse, Solstice, Arc Cyberjaya",1100,3,2,1000,Putrajaya,"Feb 9, 10:25",https://www.mudah.my/Best+Rent+P+Furnished+Mutiara+Ville+Eclipse+Solstice+Arc+Cyberjaya-88617630.htm,1.1
"Conezion Service Residence Putrajaya, Serdang, Bangi",2000,3,2,986,Putrajaya,"Feb 9, 10:10",https://www.mudah.my/Conezion+Service+Residence+Putrajaya+Serdang+Bangi-87599466.htm,2.028397565922921
Astro 1000sqft FURNISH owner pindah tinggal brg depo 1+1,999,2,2,1000,Putrajaya,"Feb 9, 10:09",https://www.mudah.my/Astro+1000sqft+FURNISH+owner+pindah+tinggal+brg+depo+1+1-88617584.htm,0.999
Ioi resort putrajaya puteri palma condo,2500,3,3,1500,Putrajaya,"Feb 9, 08:50",https://www.mudah.my/Ioi+resort+putrajaya+puteri+palma+condo-88616029.htm,1.6666666666666667
[FULLY FURNISHED] Tamara Residence Condo Presint 8 Putrajaya Ayer 8,2200,3,2,1200,Putrajaya,"Feb 9, 07:12",https://www.mudah.my/+FULLY+FURNISHED+Tamara+Residence+Condo+Presint+8+Putrajaya+Ayer+8-87409874.htm,1.8333333333333333
Apartment Baru (Balcony) Saderi Sewa Putrajaya,1200,3,2,1000,Putrajaya,"Feb 9, 01:05",https://www.mudah.my/Apartment+Baru+Balcony+Saderi+Sewa+Putrajaya-88568611.htm,1.2
"Putrajaya Presint 15, Dwiputra Residence with kitchen cabinet",1350,3,2,950,Putrajaya,"Feb 8, 23:40",https://www.mudah.my/Putrajaya+Presint+15+Dwiputra+Residence+with+kitchen+cabinet-88107563.htm,1.4210526315789473
Fully furnished tamara residence putrajaya lake & masjid besi view,2500,3,2,1205,Putrajaya,"Feb 8, 16:45",https://www.mudah.my/Fully+furnished+tamara+residence+putrajaya+lake+masjid+besi+view-87315284.htm,2.074688796680498
Apartment Pudina Presint 17,1400,3,2,1200,Putrajaya,"Feb 8, 16:35",https://www.mudah.my/Apartment+Pudina+Presint+17-88607136.htm,1.1666666666666667
Fully Furnished Shaftsbury Putrajaya,1800,2,2,950,Putrajaya,"Feb 8, 15:10",https://www.mudah.my/Fully+Furnished+Shaftsbury+Putrajaya-88605168.htm,1.894736842105263
DIRECT LINK BRIDGE TO ALAMANDA Shaftsbury Avenue Putrajaya,1800,1,1,686,Putrajaya,"Feb 8, 15:10",https://www.mudah.my/DIRECT+LINK+BRIDGE+TO+ALAMANDA+Shaftsbury+Avenue+Putrajaya-88605239.htm,2.623906705539359
SEGERA: Pangsapuri Putra Harmoni (Flat Hijau) Presint 9: Nego !!!,1000,3,2,800,Putrajaya,"Feb 8, 13:17",https://www.mudah.my/SEGERA+Pangsapuri+Putra+Harmoni+Flat+Hijau+Presint+9+Nego+-88603279.htm,1.25
CORNER BIG UNIT Dwiputra Residence Presint 15 Near Alamanda Putrajaya,2000,3,3,1200,Putrajaya,"Feb 8, 12:05",https://www.mudah.my/CORNER+BIG+UNIT+Dwiputra+Residence+Presint+15+Near+Alamanda+Putrajaya-84653080.htm,1.6666666666666667
MURAH Pangsapuri Putra Damai Presint 11 Putrajaya,900,3,2,700,Putrajaya,"Feb 8, 11:20",https://www.mudah.my/MURAH+Pangsapuri+Putra+Damai+Presint+11+Putrajaya-88546759.htm,1.2857142857142858
"Conezion, putrajaya , beside ioi city mall, opposite hospital serdang",1400,2,2,780,Putrajaya,"Feb 8, 11:08",https://www.mudah.my/Conezion+putrajaya+beside+ioi+city+mall+opposite+hospital+serdang-88600643.htm,1.794871794871795
"Conezion, putrajaya , beside ioi city mall, opposite hospital serdang",1900,3,2,986,Putrajaya,"Feb 8, 11:08",https://www.mudah.my/Conezion+putrajaya+beside+ioi+city+mall+opposite+hospital+serdang-88600611.htm,1.9269776876267748
Dwiputra Condo unit with Panaromic View & Fully Furnished (Corner Lot),2190,4,2,1200,Putrajaya,"Feb 8, 10:20",https://www.mudah.my/Dwiputra+Condo+unit+with+Panaromic+View+Fully+Furnished+Corner+Lot+-86676036.htm,1.825
Rumah prima untuk di sewa di presint 11,1000,3,2,800,Putrajaya,"Feb 8, 09:24",https://www.mudah.my/Rumah+prima+untuk+di+sewa+di+presint+11-88598225.htm,1.25
[Condo Specialist] The Clio Residences IOI Resort City Mall Putrajaya,1300,2,2,872,Putrajaya,"Feb 8, 09:00",https://www.mudah.my/+Condo+Specialist+The+Clio+Residences+IOI+Resort+City+Mall+Putrajaya-60838407.htm,1.4908256880733946
[Fast Viewing] Clio Residences Official Agent Call Now For Appointment,1700,3,2,1410,Putrajaya,"Feb 8, 08:45",https://www.mudah.my/+Fast+Viewing+Clio+Residences+Official+Agent+Call+Now+For+Appointment-84321189.htm,1.2056737588652482
New Apartment Saderi Persint 16,1580,3,2,1200,Putrajaya,"Feb 8, 08:13",https://www.mudah.my/New+Apartment+Saderi+Persint+16-88596681.htm,1.3166666666666667
"[Nampak Tasik, Dekat Pejabat] Apartment Pudina Presint 17 Putrajaya",1200,3,2,1200,Putrajaya,"Feb 8, 08:10",https://www.mudah.my/+Nampak+Tasik+Dekat+Pejabat+Apartment+Pudina+Presint+17+Putrajaya-88596531.htm,1.0
"[FULLY FURNISHED] IOI Conezion Residence Condo, Beside Putrajaya",1900,2,2,890,Putrajaya,"Feb 8, 08:08",https://www.mudah.my/+FULLY+FURNISHED+IOI+Conezion+Residence+Condo+Beside+Putrajaya-88596622.htm,2.134831460674157
"[ FULLY FURNISHED STUDIO ] Cambridge Tower, Near Presint 11, IOI mall",999,1,1,450,Putrajaya,"Feb 7, 19:46",https://www.mudah.my/+FULLY+FURNISHED+STUDIO+Cambridge+Tower+Near+Presint+11+IOI+mall-88591408.htm,2.22
"[ 3rooms FULLY FURNISHED ] Harvard Tower, Presint 11, IOI city",899,3,2,450,Putrajaya,"Feb 7, 19:42",https://www.mudah.my/+3rooms+FULLY+FURNISHED+Harvard+Tower+Presint+11+IOI+city-71440489.htm,1.9977777777777779
Puteri Palma Condo IOI Resort Putrajaya,2000,3,3,1654,Putrajaya,"Feb 7, 13:24",https://www.mudah.my/Puteri+Palma+Condo+IOI+Resort+Putrajaya-88585346.htm,1.2091898428053205
"CONEZION near IOI MALL PUTRAJAYA, SERDANG HOSPITAL",2000,3,2,986,Putrajaya,"Feb 7, 13:20",https://www.mudah.my/CONEZION+near+IOI+MALL+PUTRAJAYA+SERDANG+HOSPITAL-87633712.htm,2.028397565922921
RUMAH CANTIK Saujana Aster Presint 11 for rental,1450,3,2,1043,Putrajaya,"Feb 7, 13:10",https://www.mudah.my/RUMAH+CANTIK+Saujana+Aster+Presint+11+for+rental-87740280.htm,1.3902205177372962
PUTRAJAYA Precint 6 Rumah Sewa,1000,3,2,1000,Putrajaya,"Feb 7, 09:19",https://www.mudah.my/PUTRAJAYA+Precint+6+Rumah+Sewa-88580625.htm,1.0
Sewa Rumah Secara Bijak Dgn SKIM SEWA BELI Conezion Putrajaya,1200,2,2,783,Putrajaya,"Feb 7, 09:10",https://www.mudah.my/Sewa+Rumah+Secara+Bijak+Dgn+SKIM+SEWA+BELI+Conezion+Putrajaya-86327678.htm,1.5325670498084292
FREE Duduk Selama 24 Bulan:SKIM SEWA BELI Conezion Residence Putrajaya,1200,2,2,783,Putrajaya,"Feb 7, 09:05",https://www.mudah.my/FREE+Duduk+Selama+24+Bulan+SKIM+SEWA+BELI+Conezion+Residence+Putrajaya-86155077.htm,1.5325670498084292
"La Thea Condo 2room2bath ,Near Puchong , Putrajaya , Seri Kembangan",1199,3,2,970,Putrajaya,"Feb 7, 02:33",https://www.mudah.my/La+Thea+Condo+2room2bath+Near+Puchong+Putrajaya+Seri+Kembangan-85855154.htm,1.2360824742268042
Fully Furnished Dwiputra Presint 15 Putrajaya,2000,3,2,950,Putrajaya,"Feb 6, 19:40",https://www.mudah.my/Fully+Furnished+Dwiputra+Presint+15+Putrajaya-88383488.htm,2.1052631578947367
Pangsapuri Putradamai Precint 11 for rent,950,3,2,700,Putrajaya,"Feb 6, 18:28",https://www.mudah.my/Pangsapuri+Putradamai+Precint+11+for+rent-88573103.htm,1.3571428571428572
"Pudina Presint 17 Near selasih,seruling,larai",1300,3,2,1200,Putrajaya,"Feb 6, 16:20",https://www.mudah.my/Pudina+Presint+17+Near+selasih+seruling+larai-88458454.htm,1.0833333333333333
Tamara putrajaya,1600,3,2,1205,Putrajaya,"Feb 6, 15:20",https://www.mudah.my/Tamara+putrajaya-88112216.htm,1.3278008298755186
Apartment Saderi Presint 16 Sebelah Alamanda,1200,3,2,1000,Putrajaya,"Feb 6, 15:10",https://www.mudah.my/Apartment+Saderi+Presint+16+Sebelah+Alamanda-88569260.htm,1.2
Fully furnished unit rent putrajaya,2200,4,3,1654,Putrajaya,"Feb 6, 14:40",https://www.mudah.my/Fully+furnished+unit+rent+putrajaya-88374668.htm,1.3301088270858525
[ Area Specialist - Dwiputra Residence ] Many Units Availble On Hand,1600,3,2,950,Putrajaya,"Feb 6, 14:35",https://www.mudah.my/+Area+Specialist+Dwiputra+Residence+Many+Units+Availble+On+Hand-87989731.htm,1.6842105263157894
[ Below Market Rental ] - Dwiputra Residence Many Units Available,2000,3,3,1200,Putrajaya,"Feb 6, 14:30",https://www.mudah.my/+Below+Market+Rental+Dwiputra+Residence+Many+Units+Available-88362707.htm,1.6666666666666667
[ Agent Specialist - Dwiputra Residence ] Many Units Availble On Hand,1700,3,2,950,Putrajaya,"Feb 6, 14:30",https://www.mudah.my/+Agent+Specialist+Dwiputra+Residence+Many+Units+Availble+On+Hand-87894789.htm,1.7894736842105263
"SEWA MURAH "" Putra Damai Apartment "" Precint 11"" Putrajaya",1100,3,2,700,Putrajaya,"Feb 6, 14:07",https://www.mudah.my/SEWA+MURAH+Putra+Damai+Apartment+Precint+11+Putrajaya-88567939.htm,1.5714285714285714
Condo For rent,1700,3,2,938,Putrajaya,"Feb 6, 13:46",https://www.mudah.my/Condo+For+rent-88465852.htm,1.812366737739872
"Menyewa Sambil Membeli, SKIM SEWA BELI, Putrajaya, Condo Baru",1200,2,2,780,Putrajaya,"Feb 6, 13:27",https://www.mudah.my/Menyewa+Sambil+Membeli+SKIM+SEWA+BELI+Putrajaya+Condo+Baru-88567194.htm,1.5384615384615385
